Crop,District,Area (Acres),Production (M.Ton),Year,Temperature at 2 Meters Range (C),Precipitation Corrected (mm),Root Zone Soil Wetness (surface to 100 cm below),Surface Soil Wetness (surface to 5 cm below),relative_humidity_2m(%),soil_temperature_0_to_7cm(C),soil_moiture_7_to_28cm(m³/m³),soil_moisture_0_to_7cm(m³/m³),total_rain_mm
Onion,Barguna,80,62,2014,24.24,6.92,0.78,0.74,78.35049,27.33195,0.377319,0.33168,1425.7
Onion,Barguna,108,127,2015,19.86,16.53,0.82,0.8,80.52057,26.84322,0.387514,0.353195,2106.7
Onion,Barguna,108,124,2016,19.68,20.22,0.85,0.85,81.73871,27.31757,0.394643,0.351402,1981.5
Onion,Barguna,106,124,2017,19.69,24.79,0.89,0.89,81.98142,26.8872,0.420786,0.374936,2762.6
Onion,Barguna,108,128,2018,20.39,21.01,0.87,0.86,80.77635,26.672,0.396435,0.351338,1975.8
Onion,Barguna,108,128,2019,18.77,25.73,0.89,0.89,80.56498,26.87627,0.404664,0.35634,1579.9
Onion,Barguna,109,158,2020,20.02,19.6,0.89,0.89,82.33088,26.38537,0.417089,0.369976,2212.9
Onion,Barguna,104,124,2021,21.85,15.66,0.84,0.83,80.74391,27.08039,0.392532,0.349823,2723.7
Onion,Barguna,100,117,2022,19.85,11.5,0.86,0.85,79.2909,26.82983,0.387037,0.342713,1941.5
Onion,Barguna,54,62,2023,21.22,12.92,0.86,0.86,80.35379,27.18543,0.397186,0.351515,2031
Onion,Barguna,51,51,2024,25.78,11.17,0.85,0.81,80.179,26.9622,0.401211,0.356647,2458.3
Onion,Barishal,366,436,2014,31.14,5.84,0.69,0.65,78.01421,27.06694,0.263742,0.254095,1335.9
Onion,Barishal,458,553,2015,25.56,9.18,0.71,0.67,80.38596,26.44743,0.29811,0.29605,2287.1
Onion,Barishal,553,541,2016,26.92,13.2,0.77,0.74,81.60499,26.88963,0.303499,0.290772,2115.1
Onion,Barishal,408,505,2017,24.39,18.03,0.85,0.83,81.44764,26.45447,0.319462,0.315694,2517.5
Onion,Barishal,564,625,2018,25.83,12.11,0.8,0.78,80.95754,26.01128,0.311318,0.307349,1967.6
Onion,Barishal,596,675,2019,25.53,14.24,0.79,0.76,80.56778,26.35392,0.303363,0.29622,1546.9
Onion,Barishal,550,850,2020,25.18,11.71,0.85,0.82,81.90989,25.94265,0.313197,0.3094,2227.3
Onion,Barishal,560,879,2021,28.33,8.97,0.76,0.72,79.84317,26.63481,0.293454,0.291047,2017.6
Onion,Barishal,520,690,2022,26.69,7.67,0.78,0.75,78.11419,26.66501,0.280884,0.282926,1696.5
Onion,Barishal,438,518,2023,28.06,8.89,0.76,0.74,78.73389,26.91153,0.28407,0.286081,1789.4
Onion,Barishal,397,503,2024,25.72,11.29,0.8,0.77,80.61692,26.39725,0.308209,0.304944,2550
